Date,Open_TSLA,High_TSLA,Low_TSLA,Close_TSLA,Adj_Close_TSLA,Volume_TSLA,EPS_qtr,Revenue,oper_cash_fl,gross_mrgn,oper_mrgn,net_mrgn,pe_ann,pe_qtr,fed_funds_rate,Open_NDQ,High_NDQ,Low_NDQ,Close_NDQ,Adj Close_NDQ,Volume_NDQ,Open_SPX,High_SPX,Low_SPX,Close_SPX,Adj_Close_SPX,Volume_SPX
3/11/22,280.066681,281.266663,264.589996,265.116669,265.116669,67037100,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,97.4693636,389.8774544,0.0025,13229.76953,13239.34961,12830.37012,12843.80957,12843.80957,5288210000,4279.5,4291.009766,4200.490234,4204.310059,4204.310059,4938640000
3/14/22,260.203339,266.899994,252.013336,255.456665,255.456665,71152200,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,93.91789154,375.6715662,0.0025,12795.12012,12918.00977,12555.34961,12581.21973,12581.21973,5876710000,4202.75,4247.569824,4161.720215,4173.109863,4173.109863,5574920000
3/15/22,258.42334,268.523346,252.190002,267.296661,267.296661,66841200,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,98.27083125,393.083325,0.0025,12685.23047,12973.87988,12616.58984,12948.62012,12948.62012,5440100000,4188.819824,4271.049805,4187.899902,4262.450195,4262.450195,5392470000
3/16/22,269.666656,280.666656,267.420013,280.07666,280.07666,84028800,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,102.9693603,411.8774412,0.005,13119.37012,13440.12012,12992.2002,13436.54981,13436.54981,6552210000,4288.140137,4358.899902,4251.990234,4357.859863,4357.859863,6309750000
3/17/22,276.996674,291.666656,275.23999,290.533325,290.533325,66582900,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,106.8137224,427.2548897,0.005,13360.71973,13620.79981,13317.13965,13614.78027,13614.78027,5612090000,4345.109863,4412.669922,4335.649902,4411.669922,4411.669922,4985090000
3/18/22,291.496674,302.616669,289.130005,301.796661,301.796661,100414200,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,110.9546548,443.8186191,0.005,13564.62988,13899.28027,13528.05957,13893.83984,13893.83984,8149290000,4407.339844,4465.399902,4390.569824,4463.120117,4463.120117,8278430000
3/21/22,304.993347,314.283325,302.363342,307.053345,307.053345,81981600,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,112.8872592,451.5490368,0.005,13860.38965,13945.80957,13682.54981,13838.45996,13838.45996,5673940000,4462.399902,4481.75,4424.299805,4461.180176,4461.180176,4869820000
3/22/22,310,332.619995,307.25,331.32666,331.32666,105868500,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,121.8112721,487.2450882,0.005,13866.42969,14141.07031,13857.29004,14108.82031,14108.82031,5445100000,4469.100098,4522,4469.100098,4511.609863,4511.609863,4754840000
3/23/22,326.646667,346.899994,325.466675,333.036682,333.036682,120676200,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,122.4399566,489.7598265,0.005,13990.34961,14152.13965,13921.65039,13922.59961,13922.59961,5024230000,4493.100098,4501.069824,4455.810059,4456.240234,4456.240234,4550670000
3/24/22,336.57666,341.496674,329.600006,337.973328,337.973328,68920800,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,124.2549,497.0196,0.005,14001.32031,14193.54981,13897.2002,14191.83984,14191.83984,5149520000,4469.97998,4520.580078,4465.169922,4520.160156,4520.160156,4131390000
3/25/22,336,340.600006,332.440002,336.880005,336.880005,62031600,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,123.852943,495.4117721,0.005,14194.71973,14218.75977,14010.79004,14169.29981,14169.29981,5585100000,4522.910156,4546.029785,4501.069824,4543.060059,4543.060059,4305020000
3/28/22,355.033325,365.959991,351.200012,363.946655,363.946655,102506100,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,133.8039173,535.2156691,0.005,14177.20996,14356,14101.33984,14354.90039,14354.90039,5129500000,4541.089844,4575.649902,4517.689941,4575.52002,4575.52002,4312260000
3/29/22,369.329987,371.589996,357.703339,366.523346,366.523346,73614900,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,134.7512301,539.0049206,0.005,14500.38965,14646.90039,14419.40039,14619.63965,14619.63965,6060890000,4602.859863,4637.299805,4589.660156,4631.600098,4631.600098,5085910000
3/30/22,363.723328,371.316681,361.333344,364.66333,364.66333,59865000,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,134.0674007,536.2696029,0.005,14558.58984,14609.25,14383.4502,14442.26953,14442.26953,5479200000,4624.200195,4627.77002,4581.319824,4602.450195,4602.450195,4385570000
3/31/22,364.856659,367.713318,358.880005,359.200012,359.200012,48992700,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,132.0588279,528.2353118,0.005,14444.78027,14456.74023,14217.71973,14220.51953,14220.51953,5453890000,4599.02002,4603.069824,4530.410156,4530.410156,4530.410156,4823020000
4/1/22,360.383331,364.916656,355.546661,361.529999,361.529999,54263100,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,132.9154408,531.6617632,0.005,14269.53027,14306.94043,14131.80957,14261.5,14261.5,5002790000,4540.319824,4548.700195,4507.569824,4545.859863,4545.859863,4562940000
4/4/22,363.126678,383.303345,357.51001,381.816681,381.816681,82035900,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,140.3737798,561.4951191,0.005,14304.34961,14534.37988,14286.4502,14532.54981,14532.54981,4630100000,4547.970215,4583.5,4539.209961,4582.640137,4582.640137,4547350000
4/5/22,378.766663,384.290009,362.433319,363.753326,363.753326,80075100,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,133.7328404,534.9313618,0.005,14490.25977,14500.29004,14169.12012,14204.16992,14204.16992,4727710000,4572.450195,4593.450195,4514.169922,4525.120117,4525.120117,4800620000
4/6/22,357.823334,359.666656,342.566681,348.58667,348.58667,89348400,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,128.156864,512.6274559,0.005,14002.58008,14032.83984,13788.90039,13888.82031,13888.82031,5360420000,4494.169922,4503.939941,4450.040039,4481.149902,4481.149902,4986830000
4/7/22,350.796661,358.863342,340.513336,352.420013,352.420013,79447200,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,129.5661813,518.264725,0.005,13861.49023,13978.25,13689.23047,13897.29981,13897.29981,4856090000,4474.649902,4521.160156,4450.299805,4500.209961,4500.209961,4821490000
4/8/22,347.736664,349.480011,340.813324,341.829987,341.829987,55013700,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,125.6727893,502.6911574,0.005,13830.46973,13866.05957,13693.69043,13711,13711,4574080000,4494.149902,4520.410156,4474.600098,4488.279785,4488.279785,4083200000
4/11/22,326.799988,336.156677,324.880005,325.309998,325.309998,59357100,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,119.599264,478.3970559,0.005,13547.29004,13585.08008,13401.38965,13411.95996,13411.95996,4946680000,4462.640137,4464.350098,4408.379883,4412.529785,4412.529785,4266290000
4/12/22,332.546661,340.396667,325.533325,328.983337,328.983337,65976000,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,120.9497563,483.799025,0.005,13584.69043,13685.9502,13317.74023,13371.57031,13371.57031,4991720000,4437.589844,4471,4381.339844,4397.450195,4397.450195,4152090000
4/13/22,327.026672,342.079987,324.366669,340.790009,340.790009,55121100,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,125.2904445,501.1617779,0.005,13373.12012,13679.42969,13353.66016,13643.58984,13643.58984,4909720000,4394.299805,4453.919922,4392.700195,4446.589844,4446.589844,3828150000
4/14/22,333.09668,337.570007,327.396667,328.333344,328.333344,58422300,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,120.7107882,482.8431529,0.005,13647.42969,13662.92969,13345.21973,13351.08008,13351.08008,4642240000,4449.120117,4460.459961,4390.77002,4392.589844,4392.589844,4083090000
4/18/22,329.676666,338.306671,324.470001,334.763336,334.763336,51715200,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,123.0747559,492.2990235,0.005,13319.38965,13414.26953,13222.03027,13332.36035,13332.36035,4365230000,4385.629883,4410.310059,4370.299805,4391.689941,4391.689941,3910490000
4/19/22,335.019989,344.980011,331.776672,342.716675,342.716675,49847700,0.68,17719000000,4585000000,0.2528,0.1212,0.1026,125.9987776,503.9951103,0.005,13312.44043,13643.96973,13281.21973,13619.66016,13619.66016,4562840000,4390.629883,4471.029785,4390.629883,4462.209961,4462.209961,4108120000
4/20/22,343.333344,344.666656,325.083344,325.733337,325.733337,70711200,0.95,18756000000,3995000000,0.271,0.1533,0.1351,85.71929921,342.8771968,0.005,13665.37988,13678.54981,13426.12988,13453.07031,13453.07031,4678930000,4472.259766,4488.290039,4448.759766,4459.450195,4459.450195,4290450000
4/21/22,358.243347,364.073334,332.140015,336.26001,336.26001,105416400,0.95,18756000000,3995000000,0.271,0.1533,0.1351,88.48947632,353.9579053,0.005,13623.7002,13710.7002,13140.83008,13174.65039,13174.65039,5233110000,4489.169922,4512.939941,4384.470215,4393.660156,4393.660156,4636890000
4/22/22,338.303345,344.950012,331.333344,335.016663,335.016663,69696600,0.95,18756000000,3995000000,0.271,0.1533,0.1351,88.16227974,352.6491189,0.005,13168.79981,13212.59961,12828.01953,12839.29004,12839.29004,4475090000,4385.830078,4385.830078,4267.620117,4271.779785,4271.779785,4651940000
4/25/22,326.323334,336.206665,325.100006,332.67334,332.67334,68341200,0.95,18756000000,3995000000,0.271,0.1533,0.1351,87.54561579,350.1824632,0.005,12749.16992,13011.4502,12722.58984,13004.84961,13004.84961,4845160000,4255.339844,4299.02002,4200.819824,4296.120117,4296.120117,5240040000
4/26/22,331.809998,333.333344,291.666656,292.140015,292.140015,136133700,0.95,18756000000,3995000000,0.271,0.1533,0.1351,76.87895132,307.5158053,0.005,12918.04004,12918.04004,12490.74023,12490.74023,12490.74023,5168160000,4278.140137,4278.140137,4175.040039,4175.200195,4175.200195,4689970000
4/27/22,299.526672,306,292.453339,293.83667,293.83667,76956300,0.95,18756000000,3995000000,0.271,0.1533,0.1351,77.32543947,309.3017579,0.005,12500.87988,12703.79004,12430.90039,12488.92969,12488.92969,4810720000,4186.52002,4240.709961,4162.899902,4183.959961,4183.959961,4769680000
4/28/22,299.993347,300,273.899994,292.503326,292.503326,124948500,0.95,18756000000,3995000000,0.271,0.1533,0.1351,76.97455947,307.8982379,0.005,12712.86035,12948.51953,12487.86035,12871.53027,12871.53027,5067150000,4222.580078,4308.450195,4188.629883,4287.5,4287.5,4854180000
4/29/22,300.75,311.466675,290,290.253326,290.253326,88133100,0.95,18756000000,3995000000,0.271,0.1533,0.1351,76.38245421,305.5298168,0.005,12710.41992,12861.83008,12315.74023,12334.63965,12334.63965,4733070000,4253.75,4269.680176,4124.279785,4131.930176,4131.930176,5084030000
5/2/22,286.92334,302.119995,282.676666,300.980011,300.980011,75781500,0.95,18756000000,3995000000,0.271,0.1533,0.1351,79.20526605,316.8210642,0.005,12331.69043,12542.54004,12202.41016,12536.01953,12536.01953,4918240000,4130.609863,4169.810059,4062.51001,4155.379883,4155.379883,5163790000
5/3/22,301.059998,308.026672,296.196655,303.083344,303.083344,63709500,0.95,18756000000,3995000000,0.271,0.1533,0.1351,79.75877474,319.0350989,0.005,12511.45996,12645.83008,12460.99023,12563.75977,12563.75977,4547280000,4159.779785,4200.100098,4147.080078,4175.47998,4175.47998,4582050000
5/4/22,301.313324,318.5,295.093323,317.540009,317.540009,81643800,0.95,18756000000,3995000000,0.271,0.1533,0.1351,83.56316026,334.2526411,0.01,12574.73047,12985.00977,12367.01953,12964.86035,12964.86035,5498050000,4181.180176,4307.660156,4148.910156,4300.169922,4300.169922,5136360000
5/5/22,313.006653,315.200012,285.899994,291.093323,291.093323,92519100,0.95,18756000000,3995000000,0.271,0.1533,0.1351,76.60350605,306.4140242,0.01,12787.51953,12787.51953,12183.55957,12317.69043,12317.69043,5308920000,4270.430176,4270.430176,4106.009766,4146.870117,4146.870117,5077030000
5/6/22,295.666656,296,281.036682,288.549988,288.549988,72903000,0.95,18756000000,3995000000,0.271,0.1533,0.1351,75.93420737,303.7368295,0.01,12246.83008,12358.41992,11990.15039,12144.66016,12144.66016,5324480000,4128.169922,4157.689941,4067.909912,4123.339844,4123.339844,5116940000
5/9/22,278.816681,281.876678,260.383331,262.369995,262.369995,90810300,0.95,18756000000,3995000000,0.271,0.1533,0.1351,69.04473553,276.1789421,0.01,11923.03027,11990.61035,11574.94043,11623.25,11623.25,5939140000,4081.27002,4081.27002,3975.47998,3991.23999,3991.23999,5954520000
5/10/22,273.103333,275.119995,258.083344,266.679993,266.679993,84401700,0.95,18756000000,3995000000,0.271,0.1533,0.1351,70.17894553,280.7157821,0.01,11900.33984,11944.94043,11566.28027,11737.66992,11737.66992,6218260000,4035.179932,4068.820068,3958.169922,4001.050049,4001.050049,5885820000
5/11/22,265,269.92334,242.399994,244.666672,244.666672,97224600,0.95,18756000000,3995000000,0.271,0.1533,0.1351,64.38596632,257.5438653,0.01,11645.57031,11844.50977,11339.17969,11364.24023,11364.24023,6152370000,3990.080078,4049.090088,3928.820068,3935.179932,3935.179932,5816140000
5/12/22,233.666672,253.220001,226.666672,242.666672,242.666672,140313000,0.95,18756000000,3995000000,0.271,0.1533,0.1351,63.85965053,255.4386021,0.01,11199.25,11547.33008,11108.75977,11370.95996,11370.95996,6679470000,3903.949951,3964.800049,3858.870117,3930.080078,3930.080078,6286450000
